outlet_id,field,value,evidence_url,evidence_note
MN001,legal_organizational_form,nonprofit_501c3,https://sahanjournal.com/about-sahan-journal/,Sahan Journal identifies itself as a nonprofit newsroom and publishes a tax identification number and tax/financial documents.
MN001,governing_board_public,yes,https://sahanjournal.com/about-sahan-journal/,Current board members are publicly listed.
MN001,revenue_model,mixed_revenue,https://sahanjournal.com/about-sahan-journal/,Funding section identifies funders advertising and donors.
MN001,revenue_sources_public,foundation_grants;advertising;individual_donations;memberships;sponsorships,https://sahanjournal.com/about-sahan-journal/,Public funding materials and impact reports describe grants advertising sponsorships memberships and individual support.
MN001,funders_publicly_named,yes,https://sahanjournal.com/funders/,Sahan publicly lists donors and funders above its disclosure threshold.
MN001,named_funders,Joyce Foundation;Morgan Family Foundation;Silicon Valley Community Foundation;Walton Family Foundation;Reva and David Logan Family Foundation;The Minneapolis Foundation;Saint Paul & Minnesota Foundation;F.R. Bigelow Foundation;Report for America;Google News Initiative,https://sahanjournal.com/funders/,Selected named institutional funders from the public donor list; list is not exhaustive.
MN001,financial_security_note,Sahan has publicly described rapid growth from a startup newsroom to a multimillion-dollar nonprofit operation with diversified philanthropic advertising membership and donor revenue.,https://sahanjournal.com/inside-sahan-journal/mukhtar-ibrahim-ceo-leadership-change-minnesota/,Historical growth evidence: budget reported as $608,000 in 2020 and $2.5 million in 2023; do not treat as current 2026 budget.
MN001,public_staff_count,23,https://sahanjournal.com/about-sahan-journal/attachment/sahan-journal-impact-report-2024-1/,2024 impact report described Sahan as a 23-person news organization. This is historical organizational-size evidence rather than a verified current 2026 headcount.
MN001,staff_size_band,11_25,https://sahanjournal.com/about-sahan-journal/attachment/sahan-journal-impact-report-2024-1/,Band based on the 23-person figure reported in the 2024 impact report; retain evidence date when merging.
MN001,safety_support_status,training_or_guidance_disclosed,https://www.poynter.org/reporting-editing/2026/minneapolis-journalists-ice-crackdown/,Poynter reported that Sahan invested in tactical protective gear and hostile-environment training during the Minnesota federal immigration-enforcement surge.
MN001,safety_support_types,physical_safety;field_reporting_protocols,https://www.poynter.org/reporting-editing/2026/minneapolis-journalists-ice-crackdown/,Protective gear and hostile-environment training are publicly documented.
MN001,safety_policy_public,not_publicly_disclosed,https://www.poynter.org/reporting-editing/2026/minneapolis-journalists-ice-crackdown/,Public reporting documents safety capacity but not necessarily a formal published newsroom safety policy.
NY001,founding_year,2018,https://documentedny.com/2024/08/01/documented-strategic-plan-improving-news-for-immigrants-through-2028/,Strategic plan states Documented began in 2018.
NY001,legal_organizational_form,nonprofit_501c3,https://documentedny.com/about-us/,Documented identifies itself as an independent nonprofit newsroom; tax-specific classification should be cross-checked with official nonprofit records if used quantitatively.
NY001,governing_board_public,yes,https://documentedny.com/about-us/,Board directors are publicly listed.
NY001,public_staff_count,17,https://documentedny.com/2024/08/01/documented-strategic-plan-improving-news-for-immigrants-through-2028/,Strategic plan reports growth from a two-person startup to a team of 17. This is 2024 evidence and should not be treated as a current 2026 headcount without verification.
NY001,staff_size_band,11_25,https://documentedny.com/2024/08/01/documented-strategic-plan-improving-news-for-immigrants-through-2028/,Band based on the 17-person team reported in the 2024 strategic plan.
NY001,revenue_sources_public,foundation_grants;sponsorships;individual_donations,https://documentedny.com/editorial-independence-policy/,Editorial-independence policy states Documented accepts gifts grants and sponsorships to support staff and projects.
NY001,funders_publicly_named,yes,https://documentedny.com/editorial-independence-policy/,Documented states that donors contributing $5,000 or more annually are publicly disclosed.
NY001,ethics_policy_public,yes,https://documentedny.com/editorial-independence-policy/,Documented publishes a Code of Ethics and Editorial Independence policy.
NY001,editorial_policy_public,yes,https://documentedny.com/editorial-independence-policy/,Published editorial-independence policy.
NY001,platform_presence,website;newsletter;whatsapp;wechat;tiktok;nextdoor,https://documentedny.com/about-us/,About page explicitly identifies WhatsApp WeChat TikTok Nextdoor and newsletter products serving different immigrant communities.
NY001,owned_audience_channels,email_newsletter;whatsapp;direct_web,https://documentedny.com/about-us/,Documented maintains email newsletters direct website publishing and a large WhatsApp community.
NY001,platform_dependence_public_signal,platform_substantial,https://documentedny.com/2024/08/01/documented-strategic-plan-improving-news-for-immigrants-through-2028/,Strategic plan says meeting readers on high-use technology platforms is central to Documented's community-driven model.
NY001,referral_dependency_status,substantial_but_not_central,https://documentedny.com/2024/08/01/documented-strategic-plan-improving-news-for-immigrants-through-2028/,The newsroom uses third-party platforms centrally for distribution but also maintains direct web and email channels; no public evidence establishes that referrals are the dominant traffic source.
NY001,financial_security_note,Documented's strategic plan describes a community-driven model supported by philanthropic backers and platform-specific audience products; public evidence does not justify a single-source dependence classification.,https://documentedny.com/2024/05/07/2023-annual-report/,Annual-report announcement emphasizes foundations communities and individuals as key supporters.
AR001,public_staff_count,5,https://arkansasgrita.com/about,About page publicly lists two editors one reporter and two translators.
AR001,staff_size_band,2_5,https://arkansasgrita.com/about,Band based on five publicly named team members; this may not equal FTE employment.
AR001,editorial_leadership_public,yes,https://arkansasgrita.com/about,Researcher/editor and editor roles are publicly identified.
AR001,revenue_sources_public,individual_donations;foundation_grants;sponsorships,https://arkansasgrita.com/about,Code of Conduct states the organization accepts gifts grants and sponsorships.
AR001,editorial_policy_public,yes,https://arkansasgrita.com/about,Arkansas GRITA publishes an editorial-independence policy based on INN standards.
AR001,network_memberships,Institute for Nonprofit News standards,https://arkansasgrita.com/about,The outlet states that it subscribes to INN editorial-independence standards; this should not be coded as verified INN membership unless separately confirmed.
AR001,network_membership_status,public_affiliation_not_formal_membership,https://arkansasgrita.com/about,Public affiliation to INN standards is explicit but formal membership was not independently verified in this pass.
AR001,financial_security_note,Public pages disclose donation-based support and editorial-independence standards but do not currently disclose enough budget information to classify revenue scale or concentration.,https://arkansasgrita.com/about,Retain missingness rather than infer small-budget status from visible team size.
